LTC_Home,LTC_City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases,Report_Data_Extracted,cleaned_name
Almonte Country Haven,,82.0,44.0,25,17.0,2020-04-24,almonte country haven
Almonte Country Haven,,82.0,44.0,25,17.0,2020-04-25,almonte country haven
Almonte Country Haven,,82.0,44.0,25,17.0,2020-04-26,almonte country haven
Almonte Country Haven,,82.0,44.0,25,17.0,2020-04-27,almonte country haven
Almonte Country Haven,,82.0,44.0,25,17.0,2020-04-28,almonte country haven
Almonte Country Haven,,82.0,44.0,25,19.0,2020-04-29,almonte country haven
Almonte Country Haven,,82.0,44.0,25,19.0,2020-04-30,almonte country haven
Almonte Country Haven,,82.0,36.0,25,23.0,2020-05-01,almonte country haven
Almonte Country Haven,,82.0,36.0,25,23.0,2020-05-02,almonte country haven
Almonte Country Haven,,82.0,45.0,24,18.0,2020-05-03,almonte country haven
Almonte Country Haven,,82.0,36.0,26,12.0,2020-05-04,almonte country haven
Almonte Country Haven,,82.0,36.0,26,12.0,2020-05-05,almonte country haven
Almonte Country Haven,,82.0,36.0,26,12.0,2020-05-06,almonte country haven
Almonte Country Haven,,82.0,<5,26,13.0,2020-05-07,almonte country haven
Almonte Country Haven,,82.0,<5,26,13.0,2020-05-08,almonte country haven
Almonte Country Haven,,82.0,<5,26,13.0,2020-05-09,almonte country haven
Almonte Country Haven,,82.0,<5,26,13.0,2020-05-10,almonte country haven
Almonte Country Haven,,82.0,<5,26,13.0,2020-05-11,almonte country haven
Almonte Country Haven,,82.0,<5,28,13.0,2020-05-12,almonte country haven
Almonte Country Haven,,82.0,<5,28,13.0,2020-05-13,almonte country haven
Almonte Country Haven,,82.0,0.0,30,8.0,2020-05-14,almonte country haven
Almonte Country Haven,,82.0,0.0,30,8.0,2020-05-15,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-16,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-17,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-18,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-19,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-20,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-21,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-22,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-23,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-24,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-25,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-26,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-05-27,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-05-28,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-05-29,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-05-30,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-05-31,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-01,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-02,almonte country haven
Almonte Country Haven,,0.0,0.0,30,<5,2020-06-03,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-04,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-05,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-06,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-07,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-08,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-09,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-06-10,almonte country haven
Almonte Country Haven,,82.0,0.0,30,0.0,2020-06-11,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-12,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-13,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-14,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-15,almonte country haven
Almonte Country Haven,,82.0,0.0,30,<5,2020-06-16,almonte country haven
Almonte Country Haven,,82.0,<5,29,<5,2020-06-17,almonte country haven
Almonte Country Haven,,82.0,<5,29,<5,2020-06-18,almonte country haven
Almonte Country Haven,,82.0,<5,29,<5,2020-06-19,almonte country haven
Almonte Country Haven,,82.0,<5,29,<5,2020-06-20,almonte country haven
Almonte Country Haven,,82.0,<5,29,<5,2020-06-21,almonte country haven
Almonte Country Haven,,82.0,<5,29,<5,2020-06-22,almonte country haven
Almonte Country Haven,,82.0,<5,29,<5,2020-06-23,almonte country haven
Almonte Country Haven,,82.0,<5,29,<5,2020-06-24,almonte country haven
Almonte Country Haven,,82.0,<5,29,0.0,2020-06-25,almonte country haven
Almonte Country Haven,,82.0,<5,29,0.0,2020-06-26,almonte country haven
Almonte Country Haven,,82.0,<5,29,0.0,2020-06-27,almonte country haven
Almonte Country Haven,,82.0,<5,29,0.0,2020-06-28,almonte country haven
Almonte Country Haven,,82.0,<5,29,0.0,2020-06-29,almonte country haven
